,Fechas,Links
53,"febrero 8, 2023",https://lopezobrador.org.mx/2023/02/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-907/
54,"febrero 7, 2023",https://lopezobrador.org.mx/2023/02/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-906/
55,"febrero 6, 2023",https://lopezobrador.org.mx/2023/02/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-905/
56,"febrero 5, 2023",https://lopezobrador.org.mx/2023/02/05/palabras-del-presidente-andres-manuel-lopez-obrador-durante-el-106-aniversario-de-la-promulgacion-de-la-constitucion-de-1917/
57,"febrero 3, 2023",https://lopezobrador.org.mx/2023/02/03/version-estenografica-anuncio-de-inversion-para-la-produccion-de-vehiculos-electricos-desde-san-luis-potosi/
58,"febrero 3, 2023",https://lopezobrador.org.mx/2023/02/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-904/
59,"febrero 2, 2023",https://lopezobrador.org.mx/2023/02/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-903/
60,"febrero 1, 2023",https://lopezobrador.org.mx/2023/02/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-902/
61,"enero 31, 2023",https://lopezobrador.org.mx/2023/01/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-901/
62,"enero 30, 2023",https://lopezobrador.org.mx/2023/01/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-900/
63,"enero 29, 2023",https://lopezobrador.org.mx/2023/01/29/version-estenografica-plan-nacional-de-salud-imss-bienestar-desde-temixco-morelos/
64,"enero 27, 2023",https://lopezobrador.org.mx/2023/01/27/version-estenografica-plan-nacional-de-salud-imss-bienestar-desde-morelia-michoacan/
65,"enero 27, 2023",https://lopezobrador.org.mx/2023/01/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-899/
66,"enero 26, 2023",https://lopezobrador.org.mx/2023/01/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-898/
67,"enero 25, 2023",https://lopezobrador.org.mx/2023/01/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-897/
68,"enero 24, 2023",https://lopezobrador.org.mx/2023/01/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-896/
